"Decimal","Hexadecimal","Company"
"2512","0x09D0","Chess Wise B.V."
"2511","0x09CF","BlueStreak IoT, LLC"
"2510","0x09CE","Julius Blum GmbH"
"2509","0x09CD","Blyott"
"2508","0x09CC","Senso4s d.o.o."
"2507","0x09CB","Hx Engineering, LLC"
"2506","0x09CA","Mobitrace"
"2505","0x09C9","CrowdGlow Ltd"
"2504","0x09C8","XUNTONG"
"2503","0x09C7","Combustion, LLC"
"2502","0x09C6","Honor Device Co., Ltd."
"2501","0x09C5","HungYi Microelectronics Co.,Ltd."
"2500","0x09C4","UVISIO"
"2499","0x09C3","JAPAN TOBACCO INC."
"2498","0x09C2","Universal Audio, Inc."
"2497","0x09C1","Rosewill"
"2496","0x09C0","AnotherBrain inc."
"2495","0x09BF","Span.IO, Inc."
"2494","0x09BE","Vessel Ltd."
"2493","0x09BD","Centre Suisse d'Electronique et de Microtechnique SA"
"2492","0x09BC","Aerosens LLC"
"2491","0x09BB","SkyStream Corporation"
"2490","0x09BA","Elimo Engineering Ltd"
"2489","0x09B9","SAVOY ELECTRONIC LIGHTING"
"2488","0x09B8","PlayerData Limited"
"2487","0x09B7","Bout Labs, LLC"
"2486","0x09B6","Pegasus Technologies, Inc."
"2485","0x09B5","AUTEC Gesellschaft fuer Automationstechnik mbH"
"2484","0x09B4","PentaLock Aps."
"2483","0x09B3","BlueX Microelectronics Corp Ltd."
"2482","0x09B2","DYPHI"
"2481","0x09B1","BLINQY"
"2480","0x09B0","Deublin Company, LLC"
"2479","0x09AF","ifLink Open Community"
"2478","0x09AE","Pozyx NV"
"2477","0x09AD","Narhwall Inc."
"2476","0x09AC","Ambiq"
"2475","0x09AB","DashLogic, Inc."
"2474","0x09AA","PHOTODYNAMIC INCORPORATED"
"2473","0x09A9","Nippon Ceramic Co.,Ltd."
"2472","0x09A8","KHN Solutions Inc"
"2471","0x09A7","Paybuddy ApS"
"2470","0x09A6","BEIJING ELECTRIC VEHICLE CO.,LTD"
"2469","0x09A5","Security Enhancement Systems, LLC"
"2468","0x09A4","KUMHO ELECTRICS, INC"
"2467","0x09A3","ARDUINO SA"
"2466","0x09A2","ENGAGENOW DATA SCIENCES PRIVATE LIMITED"
"2465","0x09A1","VOS Systems, LLC"
"2464","0x09A0","Proof Diagnostics, Inc."
"2463","0x099F","Koya Medical, Inc."
"2462","0x099E","Step One Limited"
"2461","0x099D","YKK AP Inc."
"2460","0x099C","deister electronic GmbH"
"2459","0x099B","Sendum Wireless Corporation"
"2458","0x099A","New Audio LLC"
"2457","0x0999","eTactica ehf"
"2456","0x0998","Pixie Dust Technologies, Inc."
"2455","0x0997","NextMind"
"2454","0x0996","C. & E. Fein GmbH"
"2453","0x0995","Bronkhorst High-Tech B.V."
"2452","0x0994","VT42 Pty Ltd"
"2451","0x0993","Absolute Audio Labs B.V."
"2450","0x0992","Big Kaiser Precision Tooling Ltd"
"2449","0x0991","Telenor ASA"
"2448","0x0990","Anton Paar GmbH"
"2447","0x098F","Aktiebolaget Regin"
"2446","0x098E","ADVEEZ"
"2445","0x098D","C3-WIRELESS, LLC"
"2444","0x098C","bGrid B.V."
"2443","0x098B","Mequonic Engineering, S.L."
"2442","0x098A","Biovigil"
"2441","0x0989","WIKA Alexander Wiegand SE & Co.KG"
"2440","0x0988","BHM-Tech Produktionsgesellschaft m.b.H"
"2439","0x0987","TSE BRAKES, INC."
"2438","0x0986","Cello Hill, LLC"
"2437","0x0985","Lumos Health Inc."
"2436","0x0984","TeraTron GmbH"
"2435","0x0983","Feedback Sports LLC"
"2434","0x0982","ELPRO-BUCHS AG"
"2433","0x0981","Bernard Krone Holding SE & Co.KG"
"2432","0x0980","DEKRA TESTING AND CERTIFICATION, S.A.U."
"2431","0x097F","ISEMAR S.R.L."
"2430","0x097E","SonicSensory Inc"
"2429","0x097D","CLB B.V."
"2428","0x097C","Thorley Industries, LLC"
"2427","0x097B","CTEK Sweden AB"
"2426","0x097A","CORE CORPORATION"
"2425","0x0979","BIOTRONIK SE & Co. KG"
"2424","0x0978","ZifferEins GmbH & Co. KG"
"2423","0x0977","TOYOTA motor corporation"
"2422","0x0976","Fauna Audio GmbH"
"2421","0x0975","BlueIOT(Beijing) Technology Co.,Ltd"
"2420","0x0974","ABEYE"
"2419","0x0973","Popit Oy"
"2418","0x0972","Closed Joint Stock Company ""Zavod Flometr"" (""Zavod Flometr"" CJSC)"
"2417","0x0971","GA"
"2416","0x0970","IBA Dosimetry GmbH"
"2415","0x096F","Lund Motion Products, Inc."
"2414","0x096E","Band Industries, inc."
"2413","0x096D","Gunwerks, LLC"
"2412","0x096C","9374-7319 Quebec inc"
"2411","0x096B","Guide ID B.V."
"2410","0x096A","dricos, Inc."
"2409","0x0969","Woan Technology (Shenzhen) Co., Ltd."
"2408","0x0968","Actev Motors, Inc."
"2407","0x0967","Neo Materials and Consulting Inc."
"2406","0x0966","PointGuard, LLC"
"2405","0x0965","Asahi Kasei Corporation"
"2404","0x0964","Countrymate Technology Limited"
"2403","0x0963","Moonbird BV"
"2402","0x0962","GL Solutions K.K."
"2401","0x0961","Linkura AB"
"2400","0x0960","Sena Technologies Inc."
"2399","0x095F","NUANCE HEARING LTD"
"2398","0x095E","BioEchoNet inc."
"2397","0x095D","ETC"
"2396","0x095C","LogiLube, LLC"
"2395","0x095B","Lismore Instruments Limited"
"2394","0x095A","Selekt Bilgisayar, lletisim Urunleri lnsaat Sanayi ve Ticaret Limited Sirketi"
"2393","0x0959","HerdDogg, Inc"
"2392","0x0958","ZTE Corporation"
"2391","0x0957","Ohsung Electronics"
"2390","0x0956","Kerlink"
"2389","0x0955","Breville Group"
"2388","0x0954","Julbo"
"2387","0x0953","LogiLube, LLC"
"2386","0x0952","Apptricity Corporation"
"2385","0x0951","PPRS"
"2384","0x0950","Capetech"
"2383","0x094F","Limited Liability Company ""Mikrotikls"""
"2382","0x094E","PassiveBolt, Inc."
"2381","0x094D","tkLABS INC."
"2380","0x094C","GimmiSys GmbH"
"2379","0x094B","Kindeva Drug Delivery L.P."
"2378","0x094A","Zwift, Inc."
"2377","0x0949","Metronom Health Europe"
"2376","0x0948","Wearable Link Limited"
"2375","0x0947","First Light Technologies Ltd."
"2374","0x0946","AMC International Alfa Metalcraft Corporation AG"
"2373","0x0945","Globe (Jiangsu) Co., Ltd"
"2372","0x0944","Agitron d.o.o."
"2371","0x0943","Inovonics Corp."
"2370","0x0942","TRANSSION HOLDINGS LIMITED"
"2369","0x0941","Rivian Automotive, LLC"
"2368","0x0940","Hero Workout GmbH"
"2367","0x093F","JEPICO Corporation"
"2366","0x093E","Catalyft Labs, Inc."
"2365","0x093D","Adolf Wuerth GmbH & Co KG"
"2364","0x093C","Xenoma Inc."
"2363","0x093B","ENSESO LLC"
"2362","0x093A","LinkedSemi Microelectronics (Xiamen) Co., Ltd"
"2361","0x0939","ASTEM Co.,Ltd."
"2360","0x0938","Henway Technologies, LTD."
"2359","0x0937","RealThingks GmbH"
"2358","0x0936","Elekon AG"
"2357","0x0935","Reconnect, Inc."
"2356","0x0934","KiteSpring Inc."
"2355","0x0933","SRAM"
"2354","0x0932","BarVision, LLC"
"2353","0x0931","BREATHINGS Co., Ltd."
"2352","0x0930","James Walker RotaBolt Limited"
"2351","0x092F","C.O.B.O. SpA"
"2350","0x092E","PS GmbH"
"2349","0x092D","Leggett & Platt, Incorporated"
"2348","0x092C","PCI Private Limited"
"2347","0x092B","TekHome"
"2346","0x092A","Sappl Verwaltungs- und Betriebs GmbH"
"2345","0x0929","Qingdao Haier Technology Co., Ltd."
"2344","0x0928","AiRISTA"
"2343","0x0927","ROOQ GmbH"
"2342","0x0926","Gooligum Technologies Pty Ltd"
"2341","0x0925","Yukai Engineering Inc."
"2340","0x0924","Fundacion Tecnalia Research and Innovation"
"2339","0x0923","JSB TECH PTE LTD"
"2338","0x0922","Shanghai MXCHIP Information Technology Co., Ltd."
"2337","0x0921","KAHA PTE. LTD."
"2336","0x0920","Omnisense Limited"
"2335","0x091F","Myzee Technology"
"2334","0x091E","Melbot Studios, Sociedad Limitada"
"2333","0x091D","Innokind, Inc."
"2332","0x091C","Oblamatik AG"
"2331","0x091B","Luminostics, Inc."
"2330","0x091A","Albertronic BV"
"2329","0x0919","NO SMD LIMITED"
"2328","0x0918","Technosphere Labs Pvt. Ltd."
"2327","0x0917","ASR Microelectronics(ShenZhen)Co., Ltd."
"2326","0x0916","Ambient Sensors LLC"
"2325","0x0915","Honda Motor Co., Ltd."
"2324","0x0914","INEO-SENSE"
"2323","0x0913","Braveheart Wireless, Inc."
"2322","0x0912","Nerbio Medical Software Platforms Inc"
"2321","0x0911","Douglas Lighting Controls Inc."
"2320","0x0910","ASR Microelectronics (Shanghai) Co., Ltd."
"2319","0x090F","VC Inc."
"2318","0x090E","OPTIMUSIOT TECH LLP"
"2317","0x090D","IOT Invent GmbH"
"2316","0x090C","Radiawave Technologies Co.,Ltd."
"2315","0x090B","EMBR labs, INC"
"2314","0x090A","Zhuhai Hoksi Technology CO.,LTD"
"2313","0x0909","70mai Co.,Ltd."
"2312","0x0908","Pinpoint Innovations Limited"
"2311","0x0907","User Hello, LLC"
"2310","0x0906","Scope Logistical Solutions"
"2309","0x0905","Yandex Services AG"
"2308","0x0904","SUNCORPORATION"
"2307","0x0903","DATAMARS, Inc."
"2306","0x0902","TSC Auto-ID Technology Co., Ltd."
"2305","0x0901","Lucimed"
"2304","0x0900","Beijing Zizai Technology Co., LTD."
"2303","0x08FF","Plastimold Products, Inc"
"2302","0x08FE","Ketronixs Sdn Bhd"
"2301","0x08FD","BioIntelliSense, Inc."
"2300","0x08FC","Hill-Rom"
"2299","0x08FB","Darkglass Electronics Oy"
"2298","0x08FA","Troo Corporation"
"2297","0x08F9","Spacelabs Medical Inc."
"2296","0x08F8","instagrid GmbH"
"2295","0x08F7","MTD Products Inc & Affiliates"
"2294","0x08F6","Dermal Photonics Corporation"
"2293","0x08F5","Tymtix Technologies Private Limited"
"2292","0x08F4","Kodimo Technologies Company Limited"
"2291","0x08F3","PSP - Pauli Services & Products GmbH"
"2290","0x08F2","Microoled"
"2289","0x08F1","The L.S. Starrett Company"
"2288","0x08F0","Joovv, Inc."
"2287","0x08EF","Cumulus Digital Systems, Inc"
"2286","0x08EE","ASKEY"
"2285","0x08ED","IMI Hydronic Engineering International SA"
"2284","0x08EC","Denso Corporation"
"2283","0x08EB","Beijing Big Moment Technology Co., Ltd."
"2282","0x08EA","COWBELL ENGINEERING CO.,LTD."
"2281","0x08E9","Taiwan Intelligent Home Corp."
"2280","0x08E8","Naonext"
"2279","0x08E7","Barrot Technology Limited"
"2278","0x08E6","Eneso Tecnologia de Adaptacion S.L."
"2277","0x08E5","Crowd Connected Ltd"
"2276","0x08E4","Rashidov ltd"
"2275","0x08E3","Republic Wireless, Inc."
"2274","0x08E2","Shenzhen Simo Technology co. LTD"
"2273","0x08E1","KOZO KEIKAKU ENGINEERING Inc."
"2272","0x08E0","Philia Technology"
